GEOID20,City,Congestion_Index,LOS_actual,Ave_Height,B08301_002E,B08301_003E,B08301_004E,B08301_005E,B08301_010E,B08301_018E,B08301_019E,B08301_021E,B15003_001E,B19013_001E,B19301_001E,B23025_003E,B23025_005E,BLOK_Compact,BLOK_Convex,BLOK_Elong,B_Compactness_Mean,B_Compactness_Median,B_Elongation_Mean,B_Elongation_Median,Block_Total_Area,Build_Cov_Ratio,Commercial_Area,Commercial_Pct,Crash_Inde,Elementary_sch,High_school,Industrial_Area,Industrial_Pct,Institutional_Pct,Length,Mixed_Use_Area,Mixed_Use_Pct,N_B_Vertx,Open_Space_Pct,P1_001N,PM25,Residential_Area,Residential_Pct,Total_Parcel_Count,Transportation_Pct,Vacant_Undeveloped_Pct,to_fire,to_hospital,to_police,LOS_actual_numeric
60371031021002.0,Los Angeles,4.0,Medium,3.3624,124.0,101.0,23.0,0.0,0.0,0.0,0.0,10.0,391.0,58816.0,23901.0,179.0,45.0,0.6136075985332267,0.9913999964632428,2.6689391351730767,0.6460654736698997,0.6595741924501503,1.644856518214312,1.357239169981138,55722.33002427803,0.3133249081056092,0.0,0.0,8.469633011258031,2.0,6.0,0.0,0.0,0.0,61.57,0.0,0.0,10.076923076923077,0.0,275.0,9.53612995147705,55722.33002427803,100.0,90.0,0.0,0.0,0.933333333333,12.0,12.0,2.0
60371343033001.0,Los Angeles,0.0,Poor,2.776,691.0,638.0,53.0,14.0,0.0,0.0,30.0,239.0,1340.0,128083.0,64201.0,1114.0,23.0,0.6270564764332458,0.8967260090507879,1.8062862240471147,0.5928670266771742,0.5655622781762384,1.1913123467210804,1.1931142053999957,13614.689279147926,0.3346622972642765,0.0,0.0,10.47765821990116,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,11.666666666666666,0.0,62.0,8.144902229309082,13614.689279147926,100.0,19.0,0.0,0.0,2.0,3.66666666667,3.66666666667,3.0
60371319001002.0,Los Angeles,1.0,Good,3.6105,397.0,298.0,99.0,99.0,16.0,0.0,6.0,46.0,583.0,118011.0,42791.0,465.0,0.0,0.5278402118536694,0.9860330649417628,3.278406571464456,0.6232177705102001,0.6478445782657778,1.3677214897029557,1.180586985958392,18838.81057779684,0.3382710510623776,0.0,0.0,15.229618200029751,4.0,6.0,0.0,0.0,0.0,39.81,0.0,0.0,11.666666666666666,0.0,90.0,8.798195838928223,18838.81057779684,100.0,32.0,0.0,0.0,2.0,8.0,8.0,1.0
60371319002002.0,Los Angeles,1.0,Good,3.7287,390.0,332.0,58.0,58.0,0.0,0.0,0.0,5.0,560.0,131724.0,44289.0,416.0,21.0,0.5068599374642722,1.0,3.387398943678742,0.673140324163988,0.6606378851759063,1.1251165865484842,1.0928369952782018,17417.579812734413,0.3264209595470774,0.0,0.0,14.666039995369168,4.0,6.0,0.0,0.0,0.0,78.61,0.0,0.0,11.307692307692308,0.0,97.0,8.798893928527832,17417.579812734413,100.0,30.0,0.0,0.0,2.0,6.8,6.8,1.0
60371319003001.0,Los Angeles,2.0,Good,4.2516,384.0,373.0,11.0,11.0,0.0,0.0,0.0,157.0,744.0,157639.0,53915.0,574.0,33.0,0.2982210450830312,0.7377518993648229,1.0542425685199326,0.6265512959092754,0.6111847267481987,1.2333525752638863,1.146269465136203,40631.880675804845,0.3435170625180193,0.0,0.0,13.889437403175542,3.0,6.0,0.0,0.0,0.0,292.53,0.0,0.0,13.02777777777778,0.0,205.0,8.800631523132324,40631.880675804845,100.0,73.0,0.0,0.0,2.36363636364,6.0,6.0,1.0
60371236013010.0,Los Angeles,6.0,Poor,3.9544,1031.0,772.0,259.0,259.0,184.0,0.0,0.0,253.0,1641.0,112798.0,33183.0,1569.0,92.0,0.7061944086695033,0.9997669481600348,1.9739518509828504,0.6807292143801844,0.6918241780545246,1.1955058513032135,1.1780695254760418,11629.520609608444,0.3418680528872325,0.0,0.0,12.401472975686913,4.0,6.0,0.0,0.0,0.0,85.65,0.0,0.0,10.28,0.0,48.0,9.24467945098877,11629.520609608444,100.0,16.0,0.0,0.0,0.0,4.0,4.0,3.0
60371374011007.0,Los Angeles,2.0,Good,3.2725,373.0,373.0,0.0,0.0,0.0,0.0,12.0,170.0,859.0,95781.0,49725.0,699.0,69.0,0.3934052467727116,1.0,5.1781920888270045,,,,,,,,,10.118677993080889,4.0,6.0,,,,23.52,,,,,0.0,8.48953914642334,,,,,,15.0,10.0,10.0,1.0
60371031025005.0,Los Angeles,1.0,Good,3.3139,272.0,257.0,15.0,0.0,0.0,0.0,8.0,99.0,741.0,,39857.0,436.0,0.0,0.4258115051304945,0.9695224818209324,3.5381414824288253,0.6565503551945523,0.6578522048674718,1.333283326095862,1.1935202075683604,26776.68022941452,0.3300832764744708,0.0,0.0,9.395057056368168,2.0,6.128205299377441,0.0,0.0,0.0,90.75,0.0,0.0,10.507692307692308,0.0,133.0,9.485844612121582,26776.68022941452,100.0,44.0,0.0,0.0,2.0,12.0,12.0,1.0
60371093002016.0,Los Angeles,3.0,Medium,0.0041,584.0,490.0,94.0,75.0,13.0,0.0,0.0,74.0,905.0,114341.0,43109.0,698.0,27.0,0.2660542712031157,0.8539889155124126,6.094114574874052,,,,,,,,,9.742588597105852,3.0,6.0,,,,26.4,,,,,0.0,8.694069862365723,,,,,,15.0,15.0,15.0,2.0
60371313001012.0,Los Angeles,3.0,Medium,2.9466,547.0,494.0,53.0,20.0,10.0,0.0,0.0,43.0,792.0,115469.0,40690.0,676.0,67.0,0.5005755102507673,0.7833601440864089,2.4111643695871554,0.6161858615163178,0.5886697927706785,1.1317913083043758,1.1394214644755742,18850.648780236417,0.363254824796576,0.0,0.0,14.478459356390252,4.0,6.0,0.0,0.0,0.0,102.78,0.0,0.0,10.35897435897436,0.0,90.0,8.79818058013916,18850.648780236417,100.0,32.0,0.0,0.0,2.0,6.0,6.0,2.0
